authorities_contacted authorities_contacted,collision_type collision_type,fraud_reported fraud_reported,incident_severity incident_severity,incident_type incident_type,insured_education_level insured_education_level,insured_occupation insured_occupation,insured_relationship insured_relationship,insured_sex insured_sex,police_report_available police_report_available,policy_csl policy_csl,property_damage property_damage,Risk_Level Risk_Level,Actual Actual,age age,bodily_injuries bodily_injuries,capital-gains capital-gains,capital-loss capital-loss,claim_deviation claim_deviation,claim_ratio claim_ratio,claimscount,Fraud_Probability Fraud_Probability,incident_hour_of_the_day incident_hour_of_the_day,injury_claim injury_claim,months_as_customer months_as_customer,number_of_vehicles_involved number_of_vehicles_involved,policy_age_days policy_age_days,policy_annual_premium policy_annual_premium,policy_deductable policy_deductable,Predicted Predicted,property_claim property_claim,row_count,tetx,total_claim_amount total_claim_amount,umbrella_limit umbrella_limit,vehicle_claim vehicle_claim,witnesses witnesses
Ambulance,Front Collision,N,Minor Damage,Multi-vehicle Collision,JD,farming-fishing,other-relative,FEMALE,NO,500/1000,YES,Low Risk,0,28,2,0,-38500,20931.05,4.499655990,1,0.190037790,21,13080,130,2,8460,1003.15,1000,0,13080,1,0,85020,0,58860,1
Fire,Rear Collision,N,Minor Damage,Multi-vehicle Collision,Masters,protective-serv,unmarried,MALE,unknown,250/500,NO,Low Risk,0,41,0,0,-57000,5401.05,3.499717309,1,0.124902187,3,12380,242,3,8899,1153.54,2000,0,12380,1,0,68090,6000000,43330,1
Police,unknown,N,Trivial Damage,Parked Car,High School,priv-house-serv,wife,FEMALE,NO,100/300,unknown,Low Risk,0,27,1,0,0,-33238.95,6.989567809,1,0.078174148,4,670,96,1,2166,1631.1,1000,0,670,1,0,6030,0,4690,2
unknown,unknown,N,Minor Damage,Vehicle Theft,MD,machine-op-inspct,wife,MALE,NO,500/1000,unknown,Low Risk,0,35,1,0,-55800,-34358.95,6.986301370,1,0.146226928,17,1020,180,1,3495,1252.48,1000,0,510,1,0,5100,0,3570,3
Police,unknown,N,Trivial Damage,Vehicle Theft,College,sales,own-child,MALE,YES,100/300,YES,Low Risk,0,30,1,40100,0,-34358.95,6.986301370,1,0.053845261,7,510,150,1,7609,1677.26,1000,0,510,1,0,4590,0,3570,3
Other,Front Collision,Y,Major Damage,Multi-vehicle Collision,JD,exec-managerial,not-in-family,FEMALE,NO,250/500,unknown,Medium Risk,1,59,1,51700,0,12751.05,3.499758304,1,0.517243874,14,7240,463,2,7498,979.73,1000,1,14480,1,0,72400,0,50680,2
Fire,Front Collision,N,Major Damage,Single Vehicle Collision,Masters,other-service,not-in-family,MALE,NO,250/500,NO,Low Risk,0,64,2,0,0,11701.05,6.999012833,1,0.363948763,13,14180,472,1,910,989.24,500,1,7090,1,0,70900,0,49630,3
Other,Side Collision,N,Total Loss,Multi-vehicle Collision,Associate,priv-house-serv,husband,FEMALE,YES,500/1000,unknown,Low Risk,0,25,2,0,0,14151.05,7.998771310,1,0.204486542,23,6510,75,2,1143,1389.86,1000,1,6510,1,0,65100,0,52080,3
Ambulance,Side Collision,N,Total Loss,Multi-vehicle Collision,College,handlers-cleaners,husband,FEMALE,YES,100/300,unknown,Low Risk,0,40,2,0,0,12051.05,3.499754919,1,0.210808383,23,0,193,3,3655,1233.85,500,1,14280,1,0,64260,0,49980,1
Ambulance,Rear Collision,Y,Major Damage,Single Vehicle Collision,Associate,armed-forces,not-in-family,FEMALE,unknown,500/1000,unknown,High Risk,1,43,2,0,0,12961.05,2.333226354,1,0.762325041,16,7270,43,1,6282,1320.39,500,1,21810,1,0,79970,0,50890,1
Police,Rear Collision,N,Total Loss,Single Vehicle Collision,College,machine-op-inspct,not-in-family,FEMALE,unknown,100/300,NO,Low Risk,0,41,2,36600,0,6101.05,6.998887299,1,0.226731459,17,6290,253,1,3918,1435.09,1000,1,6290,1,0,56610,0,44030,0
Fire,Side Collision,Y,Major Damage,Single Vehicle Collision,JD,craft-repair,wife,FEMALE,unknown,500/1000,YES,High Risk,1,30,1,58600,0,31281.05,8.998829801,1,0.760904901,9,7690,152,1,1912,1448.54,500,1,7690,1,0,84590,0,69210,1
Fire,Side Collision,N,Major Damage,Multi-vehicle Collision,High School,sales,wife,MALE,YES,250/500,NO,Medium Risk,0,38,2,0,-43800,6591.05,2.999797857,1,0.483871809,13,7420,160,3,1938,1733.56,500,1,14840,1,0,66780,0,44520,1
Police,Rear Collision,N,Major Damage,Single Vehicle Collision,JD,farming-fishing,own-child,MALE,YES,100/300,YES,Medium Risk,0,36,1,0,-28800,14071.05,7.998769420,1,0.425280115,13,0,56,1,1899,1533.07,500,1,6500,1,0,58500,0,52000,2
Police,unknown,N,Trivial Damage,Parked Car,College,prof-specialty,other-relative,FEMALE,NO,100/300,unknown,Low Risk,0,41,2,45500,-62500,-33928.95,7.984031936,1,0.045656764,3,500,286,1,4915,1106.77,500,0,500,1,0,5000,0,4000,0
Police,unknown,Y,Trivial Damage,Parked Car,JD,priv-house-serv,unmarried,FEMALE,unknown,100/300,unknown,High Risk,1,29,2,0,0,-34428.95,3.496503497,1,0.733818385,3,500,3,1,8102,995.7,500,1,1000,1,0,5000,5000000,3500,1
Ambulance,Front Collision,N,Major Damage,Multi-vehicle Collision,High School,sales,other-relative,FEMALE,YES,250/500,unknown,Low Risk,0,41,1,71300,-70300,-1628.95,2.999752087,1,0.357330398,16,6050,286,3,5872,1298.85,1000,1,12100,1,0,54450,6000000,36300,3
Police,Front Collision,N,Major Damage,Multi-vehicle Collision,Masters,handlers-cleaners,other-relative,FEMALE,unknown,250/500,NO,Low Risk,0,38,1,0,0,10231.05,6.998982706,1,0.399735956,12,6880,239,3,8944,1276.73,1000,1,6880,1,0,61920,5000000,48160,3
Ambulance,Side Collision,Y,Minor Damage,Single Vehicle Collision,High School,exec-managerial,other-relative,MALE,NO,250/500,unknown,Medium Risk,1,29,1,0,-61400,-2968.95,7.998169755,1,0.682412677,4,4370,64,1,1178,1202.28,2000,1,4370,1,0,43700,0,34960,2
Other,Front Collision,N,Minor Damage,Single Vehicle Collision,Masters,machine-op-inspct,wife,MALE,unknown,100/300,unknown,Low Risk,0,31,2,0,-26400,11911.05,6.999016992,1,0.151049970,3,7120,98,1,9123,671.92,500,0,7120,1,0,64080,0,49840,0
Other,Rear Collision,Y,Total Loss,Single Vehicle Collision,JD,sales,own-child,MALE,unknown,250/500,NO,Medium Risk,1,35,2,59300,-31400,-2928.95,3.499650035,1,0.573077282,0,10000,16,1,8848,1358.03,1000,1,10000,1,0,55000,0,35000,1
Police,unknown,N,Trivial Damage,Vehicle Theft,Masters,adm-clerical,own-child,FEMALE,unknown,250/500,NO,Low Risk,0,27,2,46000,0,-34078.95,6.987295826,1,0.066752432,19,0,70,1,3833,1008.79,1000,0,550,1,0,4400,4000000,3850,3
Police,Side Collision,N,Minor Damage,Multi-vehicle Collision,JD,armed-forces,other-relative,MALE,YES,100/300,unknown,Low Risk,0,27,0,0,0,15801.05,4.499623147,1,0.185683926,15,5970,75,2,7750,1141.1,1000,0,11940,1,0,71640,0,53730,1
Other,Rear Collision,N,Minor Damage,Single Vehicle Collision,High School,machine-op-inspct,not-in-family,MALE,NO,100/300,NO,Low Risk,0,44,1,0,0,10091.05,6.998979741,1,0.187408241,6,6860,246,1,7241,1397,1000,0,6860,1,0,61740,0,48020,0
Ambulance,Side Collision,N,Total Loss,Single Vehicle Collision,Associate,priv-house-serv,own-child,FEMALE,unknown,500/1000,unknown,Low Risk,0,27,0,0,-66200,8071.05,7.998608938,1,0.140006299,3,5750,110,1,2012,1664.66,1000,0,5750,1,0,57500,0,46000,3
Police,unknown,N,Minor Damage,Parked Car,Masters,exec-managerial,wife,FEMALE,unknown,250/500,YES,Low Risk,0,39,0,0,-63900,-31838.95,3.497989661,1,0.091637064,17,870,236,1,6633,1151.39,1000,0,1740,1,0,8700,4000000,6090,0
Police,Front Collision,N,Total Loss,Multi-vehicle Collision,MD,adm-clerical,wife,FEMALE,unknown,100/300,NO,Low Risk,0,46,2,0,0,16041.05,6.999092206,1,0.179989219,4,15420,267,4,3802,1546.01,2000,0,7710,1,0,77100,0,53970,1
Police,Front Collision,N,Minor Damage,Single Vehicle Collision,Masters,priv-house-serv,wife,MALE,YES,250/500,NO,Low Risk,0,57,2,0,0,8271.05,6.998939555,1,0.202078156,14,6600,463,1,8599,1063.67,500,1,6600,1,0,59400,0,46200,0
Fire,Rear Collision,N,Minor Damage,Multi-vehicle Collision,Masters,machine-op-inspct,husband,MALE,NO,100/300,NO,Low Risk,0,46,1,0,0,1991.05,7.998397115,1,0.295468933,3,9980,303,3,3681,709.14,1000,1,4990,1,0,54890,0,39920,0
Other,Front Collision,N,Minor Damage,Multi-vehicle Collision,MD,exec-managerial,unmarried,MALE,unknown,250/500,unknown,Low Risk,0,30,2,55600,-59700,15911.05,3.999702845,1,0.314553363,4,6730,137,3,1158,1039.55,500,1,13460,1,0,74030,0,53840,1
Other,Rear Collision,N,Total Loss,Single Vehicle Collision,Associate,adm-clerical,not-in-family,FEMALE,YES,250/500,unknown,Low Risk,0,42,1,0,0,1201.05,3.499686969,1,0.366960418,13,11180,56,1,6807,1339.39,500,1,11180,1,0,61490,0,39130,2
Police,Front Collision,N,Minor Damage,Multi-vehicle Collision,High School,handlers-cleaners,not-in-family,MALE,YES,250/500,NO,Low Risk,0,27,0,57900,-90100,21741.05,4.499660659,1,0.140513821,23,6630,75,3,8204,1202.75,1000,0,13260,1,0,79560,0,59670,2
Police,unknown,N,Minor Damage,Parked Car,MD,sales,wife,MALE,NO,100/300,unknown,Low Risk,0,33,0,0,-65200,-34008.95,7.983706721,1,0.104027924,3,490,131,1,8877,1081.17,2000,0,490,1,0,4900,0,3920,1
Other,Side Collision,N,Total Loss,Multi-vehicle Collision,High School,tech-support,other-relative,MALE,NO,250/500,unknown,Low Risk,0,34,1,45600,-61400,11561.05,3.499752493,1,0.251265641,0,14140,153,3,7670,991.39,500,1,14140,1,0,77770,0,49490,0
Fire,Side Collision,Y,Major Damage,Multi-vehicle Collision,JD,transport-moving,unmarried,FEMALE,unknown,500/1000,unknown,High Risk,1,43,2,75800,0,14361.05,3.499765745,1,0.768498400,14,7470,255,2,2837,984.02,500,1,14940,1,0,74700,0,52290,2
Police,Front Collision,N,Minor Damage,Multi-vehicle Collision,MD,tech-support,husband,MALE,unknown,100/300,NO,Low Risk,0,26,2,66300,0,-5448.95,7.998030042,1,0.225851888,14,4060,103,2,272,1354.83,500,1,4060,1,0,40600,0,32480,2
Ambulance,Rear Collision,N,Total Loss,Single Vehicle Collision,JD,farming-fishing,husband,MALE,unknown,100/300,unknown,Low Risk,0,28,1,0,-32600,-12778.95,2.499751516,1,0.333425487,22,10060,97,1,1797,830.31,1000,1,10060,1,0,45270,0,25150,0
Ambulance,Front Collision,N,Minor Damage,Multi-vehicle Collision,Associate,machine-op-inspct,own-child,FEMALE,unknown,100/300,NO,Low Risk,0,36,0,0,0,-3688.95,3.999532765,1,0.092357450,17,4280,214,3,5354,987.42,2000,0,8560,1,0,47080,7000000,34240,3
Police,Side Collision,Y,Minor Damage,Single Vehicle Collision,MD,machine-op-inspct,husband,FEMALE,NO,500/1000,unknown,Medium Risk,1,57,0,0,0,-5368.95,7.998034881,1,0.581172985,14,4070,438,1,8503,1119.29,500,1,4070,1,0,40700,0,32560,0
Police,Side Collision,N,Minor Damage,Single Vehicle Collision,Masters,transport-moving,own-child,FEMALE,YES,100/300,unknown,Low Risk,0,27,2,0,0,-12728.95,7.997461123,1,0.086550171,2,6300,87,1,4059,1048.39,500,0,3150,1,0,34650,0,25200,1
Police,unknown,N,Trivial Damage,Parked Car,MD,protective-serv,wife,MALE,unknown,500/1000,unknown,Low Risk,0,28,2,0,0,-35528.95,5.985037406,1,0.077671256,4,400,27,1,8240,1074.47,1000,0,400,1,0,3200,0,2400,0
Fire,Rear Collision,Y,Major Damage,Single Vehicle Collision,High School,machine-op-inspct,unmarried,MALE,NO,500/1000,unknown,High Risk,1,42,1,0,-74200,19511.05,3.999721468,1,0.717440027,2,7180,206,1,7755,1230.76,1000,1,14360,1,0,78980,0,57440,1
unknown,unknown,N,Minor Damage,Parked Car,Associate,sales,not-in-family,MALE,NO,500/1000,YES,Low Risk,0,31,1,58200,0,-33448.95,3.996431757,1,0.046682627,10,560,127,1,4571,1255.02,500,0,1120,1,0,6160,0,4480,0
Ambulance,Front Collision,N,Major Damage,Single Vehicle Collision,MD,machine-op-inspct,own-child,FEMALE,NO,100/300,YES,Medium Risk,0,60,1,43600,-67800,24071.05,7.998967875,1,0.589312091,11,15500,422,1,1553,1555.52,1000,1,7750,1,0,85250,0,62000,1
Fire,Side Collision,N,Major Damage,Multi-vehicle Collision,Masters,sales,not-in-family,MALE,NO,100/300,YES,Medium Risk,0,50,1,0,0,16701.05,8.998517542,1,0.416286007,1,12140,303,4,6532,836.11,2000,1,6070,1,0,72840,5000000,54630,2
Police,unknown,N,Trivial Damage,Parked Car,Associate,exec-managerial,husband,MALE,NO,100/300,unknown,Low Risk,0,40,0,43700,0,-34078.95,3.496821072,1,0.083250984,20,1100,228,1,6532,1450.98,500,0,1100,1,0,6050,0,3850,2
Fire,Front Collision,Y,Major Damage,Single Vehicle Collision,JD,protective-serv,wife,FEMALE,YES,250/500,NO,High Risk,1,39,2,44200,-37000,25991.05,7.998998874,1,0.739394077,10,15980,239,1,8904,625.08,2000,1,7990,1,0,87890,0,63920,3
Other,Side Collision,Y,Total Loss,Multi-vehicle Collision,High School,craft-repair,wife,FEMALE,YES,100/300,unknown,Medium Risk,1,47,0,0,-56400,6071.05,7.998545719,1,0.542874539,20,11000,330,2,277,1133.27,2000,1,5500,1,0,60500,0,44000,2
Fire,Front Collision,N,Minor Damage,Multi-vehicle Collision,MD,machine-op-inspct,other-relative,FEMALE,NO,500/1000,unknown,Low Risk,0,35,2,0,0,18211.05,3.499781809,1,0.194497204,10,16040,128,3,3815,1366.6,500,0,16040,1,0,88220,0,56140,1
Other,Rear Collision,N,Total Loss,Multi-vehicle Collision,Associate,prof-specialty,husband,FEMALE,NO,500/1000,NO,Low Risk,0,37,1,0,-48400,1111.05,7.998360992,1,0.241880453,2,9760,147,2,2006,1439.9,1000,1,4880,1,0,53680,6000000,39040,2
Fire,Front Collision,N,Minor Damage,Single Vehicle Collision,Masters,transport-moving,not-in-family,MALE,NO,500/1000,NO,Low Risk,0,45,0,0,-54600,5111.05,7.998513287,1,0.384712162,19,5380,287,1,2746,1230.69,1000,1,5380,1,0,53800,0,43040,2
Police,Rear Collision,Y,Major Damage,Single Vehicle Collision,MD,craft-repair,husband,FEMALE,NO,100/300,YES,High Risk,1,29,1,0,-48500,2841.05,4.499503366,1,0.749600627,10,4530,142,1,1831,1307.68,2000,1,9060,1,0,54360,0,40770,2
Police,Side Collision,N,Major Damage,Single Vehicle Collision,Masters,handlers-cleaners,husband,FEMALE,YES,500/1000,YES,Low Risk,0,35,0,0,0,1591.05,7.998380895,1,0.375096416,14,9880,162,1,5394,1124.69,2000,1,4940,1,0,54340,0,39520,3
unknown,unknown,Y,Trivial Damage,Parked Car,High School,craft-repair,wife,FEMALE,YES,100/300,unknown,Medium Risk,1,35,0,0,-42900,-35848.95,7.969348659,1,0.639267716,5,520,140,1,2497,1520.78,1000,1,260,1,0,2860,0,2080,2
Police,unknown,N,Minor Damage,Vehicle Theft,High School,craft-repair,own-child,MALE,YES,100/300,YES,Low Risk,0,28,2,0,0,-33658.95,3.497133497,1,0.088838253,8,0,106,1,9022,1609.11,2000,0,1220,1,0,5490,0,4270,1
Police,unknown,N,Trivial Damage,Vehicle Theft,Masters,craft-repair,unmarried,MALE,unknown,500/1000,NO,Low Risk,0,45,0,0,0,-32568.95,3.997017151,1,0.088977625,4,670,292,1,8739,1358.91,1000,0,1340,1,0,7370,0,5360,2
Ambulance,Side Collision,Y,Major Damage,Multi-vehicle Collision,PhD,priv-house-serv,husband,FEMALE,NO,500/1000,unknown,Medium Risk,1,34,1,0,0,2711.05,7.998425507,1,0.696710670,4,5080,34,3,8335,1295.87,500,1,5080,1,0,50800,0,40640,0
Fire,Side Collision,N,Minor Damage,Multi-vehicle Collision,Associate,adm-clerical,not-in-family,MALE,unknown,250/500,unknown,Low Risk,0,48,1,45300,0,-6788.95,5.998844153,1,0.229319956,20,5190,290,2,660,1161.03,500,1,5190,1,0,41520,5000000,31140,1
Police,Side Collision,N,Total Loss,Single Vehicle Collision,Masters,armed-forces,husband,FEMALE,YES,500/1000,unknown,Low Risk,0,38,2,53800,-78300,27271.05,3.999754616,1,0.351202829,18,8150,182,1,2099,1441.06,2000,1,16300,1,0,89650,0,65200,3
Police,Rear Collision,N,Total Loss,Multi-vehicle Collision,JD,other-service,unmarried,FEMALE,NO,100/300,NO,Low Risk,0,55,0,44400,-71500,1761.05,39690,1,0.180405728,0,0,362,3,2269,1097.99,1000,0,0,1,0,39690,0,39690,3
Ambulance,Rear Collision,N,Major Damage,Single Vehicle Collision,High School,exec-managerial,husband,FEMALE,NO,500/1000,unknown,Low Risk,0,32,2,79900,0,13011.05,8.998410175,1,0.329680388,1,5660,143,1,5307,1464.42,1000,1,5660,1,0,62260,0,50940,0
Police,Side Collision,Y,Major Damage,Single Vehicle Collision,Masters,prof-specialty,not-in-family,FEMALE,YES,250/500,NO,High Risk,1,38,0,20200,0,-168.950000000,7.998305444,1,0.753763718,17,9440,183,1,227,1543.68,500,1,4720,1,0,51920,0,37760,1
Other,Front Collision,N,Minor Damage,Single Vehicle Collision,College,armed-forces,wife,MALE,unknown,250/500,unknown,Low Risk,0,40,2,0,-74400,951.050000000,7.998354248,1,0.244815635,23,9720,254,1,7251,1390.89,500,1,4860,1,0,53460,5000000,38880,2
Fire,Rear Collision,N,Total Loss,Multi-vehicle Collision,MD,adm-clerical,not-in-family,FEMALE,YES,100/300,YES,Low Risk,0,43,2,0,-71200,7751.05,7.998599195,1,0.231952825,4,5710,249,3,8919,1148.58,2000,1,5710,1,0,57100,0,45680,1
Ambulance,Front Collision,N,Total Loss,Multi-vehicle Collision,High School,exec-managerial,unmarried,MALE,unknown,250/500,NO,Low Risk,0,36,2,50700,-57600,18391.05,7.998863798,1,0.186544424,0,14080,169,3,5904,1616.26,500,0,7040,1,0,77440,0,56320,3
Ambulance,Side Collision,N,Minor Damage,Single Vehicle Collision,College,craft-repair,husband,MALE,NO,500/1000,NO,Low Risk,0,40,1,0,0,9881.05,3.499743796,1,0.280034141,11,6830,235,1,7047,1398.94,500,1,13660,1,0,68300,0,47810,2
unknown,unknown,N,Trivial Damage,Parked Car,Associate,other-service,other-relative,MALE,unknown,500/1000,unknown,Low Risk,0,32,0,57800,-53700,-34248.95,3.995656895,1,0.055976805,4,460,112,1,5531,1238.92,1000,0,920,1,0,5060,0,3680,2
Ambulance,Side Collision,Y,Total Loss,Multi-vehicle Collision,MD,tech-support,not-in-family,MALE,unknown,100/300,unknown,Low Risk,1,32,0,50800,-66200,1671.05,2.999772744,1,0.343029283,0,6600,16,3,4566,968.46,1000,1,13200,1,0,59400,0,39600,2
Ambulance,Side Collision,Y,Major Damage,Multi-vehicle Collision,High School,transport-moving,other-relative,FEMALE,unknown,100/300,NO,High Risk,1,31,0,0,-28300,16461.05,3.499774789,1,0.777156804,2,0,128,3,7839,1045.12,500,1,15540,1,0,69930,0,54390,2
Police,Front Collision,N,Minor Damage,Multi-vehicle Collision,College,handlers-cleaners,husband,FEMALE,NO,100/300,YES,Low Risk,0,27,1,0,-74800,16461.05,3.499774789,1,0.247682626,11,7770,103,3,2623,1537.33,1000,1,15540,1,0,77700,0,54390,1
Other,Front Collision,Y,Major Damage,Multi-vehicle Collision,College,prof-specialty,wife,MALE,unknown,500/1000,NO,High Risk,1,54,2,58500,-44000,5821.05,3.499720022,1,0.781363803,23,12500,356,3,2526,912.3,500,1,12500,1,0,68750,0,43750,1
Police,Side Collision,N,Minor Damage,Multi-vehicle Collision,High School,adm-clerical,husband,FEMALE,YES,100/300,NO,Low Risk,0,29,1,0,0,20031.05,3.499788660,1,0.160974666,17,16560,109,3,3065,1007.28,2000,0,16560,1,0,91080,6000000,57960,3
Other,Side Collision,N,Minor Damage,Single Vehicle Collision,High School,craft-repair,other-relative,FEMALE,YES,500/1000,NO,Low Risk,0,20,1,0,-54700,-1658.95,4.499441757,1,0.128145639,22,4030,2,1,4347,1189.98,1000,0,8060,1,0,48360,4000000,36270,3
Other,Side Collision,N,Major Damage,Single Vehicle Collision,Associate,handlers-cleaners,other-relative,MALE,YES,250/500,YES,Low Risk,0,34,1,0,-55100,38071.05,7.999157983,1,0.354406520,18,9500,198,1,4290,1576.41,1000,1,9500,1,0,95000,0,76000,1
Police,unknown,N,Trivial Damage,Vehicle Theft,Associate,machine-op-inspct,other-relative,MALE,NO,100/300,unknown,Low Risk,0,32,1,82100,0,-35198.95,6.982097187,1,0.037815240,8,780,107,1,4677,1172.82,500,0,390,1,0,3900,4000000,2730,3
Other,Front Collision,Y,Minor Damage,Multi-vehicle Collision,High School,transport-moving,other-relative,MALE,NO,500/1000,unknown,Medium Risk,1,39,0,0,-33300,3651.05,6.998821747,1,0.656013320,15,11880,252,3,4011,1312.22,500,1,5940,1,0,59400,9000000,41580,3
Fire,Rear Collision,N,Minor Damage,Single Vehicle Collision,Associate,machine-op-inspct,other-relative,FEMALE,unknown,500/1000,unknown,Low Risk,0,43,2,42900,-61500,8901.05,6.998953819,1,0.282396123,20,6690,303,1,5838,671.01,1000,1,6690,1,0,60210,7000000,46830,0
Ambulance,Front Collision,N,Minor Damage,Single Vehicle Collision,JD,sales,other-relative,MALE,YES,250/500,unknown,Low Risk,0,32,0,52600,-30400,-7408.95,6.998394864,1,0.087617807,4,8720,101,1,4735,895.14,500,0,4360,1,0,43600,0,30520,3
Police,Front Collision,N,Total Loss,Multi-vehicle Collision,College,adm-clerical,unmarried,MALE,NO,100/300,NO,Low Risk,0,57,0,42700,-64900,6031.05,3.499721360,1,0.333553150,10,6280,446,3,8102,1373.21,2000,1,12560,1,0,62800,0,43960,0
Ambulance,Side Collision,N,Major Damage,Single Vehicle Collision,College,farming-fishing,husband,MALE,unknown,250/500,YES,Medium Risk,0,48,1,0,0,3721.05,6.998823727,1,0.643360598,10,11900,330,1,6091,1625.65,1000,1,5950,1,0,59500,0,41650,3
Police,Front Collision,N,Total Loss,Multi-vehicle Collision,PhD,armed-forces,not-in-family,FEMALE,unknown,250/500,YES,Low Risk,0,37,1,42200,-33800,3651.05,6.998821747,1,0.266837852,22,5940,211,3,1485,1295.63,2000,1,5940,1,0,53460,4000000,41580,0
Ambulance,Side Collision,N,Total Loss,Multi-vehicle Collision,High School,adm-clerical,wife,FEMALE,NO,100/300,NO,Low Risk,0,33,0,41300,-42000,-11398.95,3.499538319,1,0.119637878,15,7580,172,3,1048,1459.96,1000,0,7580,1,0,41690,6000000,26530,1
Ambulance,Side Collision,N,Minor Damage,Single Vehicle Collision,Masters,prof-specialty,wife,FEMALE,YES,100/300,unknown,Low Risk,0,46,0,0,-51000,6241.05,3.499722684,1,0.173918640,13,6310,316,1,1343,1219.94,500,0,12620,1,0,63100,7000000,44170,1
Ambulance,Front Collision,Y,Total Loss,Single Vehicle Collision,Associate,priv-house-serv,other-relative,MALE,unknown,500/1000,NO,Medium Risk,1,60,2,73500,-43300,9231.05,4.499570652,1,0.658028395,23,5240,435,1,3006,1064.49,500,1,10480,1,0,62880,5000000,47160,1
Fire,Side Collision,Y,Major Damage,Multi-vehicle Collision,Masters,sales,not-in-family,FEMALE,YES,100/300,unknown,High Risk,1,51,2,0,-38700,8471.05,3.999655202,1,0.718994079,18,17400,344,3,2411,959.83,1000,1,11600,1,0,75400,0,46400,2
Ambulance,Rear Collision,N,Total Loss,Single Vehicle Collision,JD,machine-op-inspct,husband,MALE,NO,250/500,YES,Low Risk,0,40,1,0,-49300,-4328.95,3.999523866,1,0.236946440,7,4200,204,1,7851,1767.02,2000,1,8400,1,0,46200,0,33600,1
Ambulance,Rear Collision,N,Major Damage,Single Vehicle Collision,Masters,machine-op-inspct,not-in-family,MALE,YES,500/1000,NO,Medium Risk,0,47,2,0,-39800,8871.05,7.998632712,1,0.475922844,21,5850,278,1,2478,1285.01,500,1,5850,1,0,58500,0,46800,2
Other,Rear Collision,N,Major Damage,Multi-vehicle Collision,JD,transport-moving,husband,MALE,NO,500/1000,NO,Medium Risk,0,57,1,0,0,6231.05,3.999637714,1,0.610216408,15,11040,434,3,5321,1422.95,2000,1,11040,1,0,66240,0,44160,3
Ambulance,Rear Collision,N,Total Loss,Multi-vehicle Collision,MD,craft-repair,wife,FEMALE,unknown,100/300,unknown,Low Risk,0,36,1,0,0,11151.05,5.999266593,1,0.246283708,17,8180,209,3,1827,1223.39,2000,1,8180,1,0,65440,0,49080,3
Fire,Front Collision,N,Minor Damage,Single Vehicle Collision,Masters,sales,other-relative,MALE,unknown,500/1000,NO,Low Risk,0,43,0,37800,0,4871.05,3.999626203,1,0.144278194,2,10700,250,1,9064,1539.06,2000,0,10700,1,0,64200,0,42800,3
Ambulance,Rear Collision,N,Minor Damage,Multi-vehicle Collision,Masters,other-service,not-in-family,FEMALE,NO,100/300,YES,Low Risk,0,25,1,0,0,-13688.95,5.998515219,1,0.129556379,1,4040,61,3,6216,988.06,2000,0,4040,1,0,32320,0,24240,0
Police,Rear Collision,N,Major Damage,Single Vehicle Collision,College,farming-fishing,wife,FEMALE,unknown,500/1000,unknown,Low Risk,0,28,0,0,-18600,-11888.95,6.998118785,1,0.298847857,3,3720,80,1,46,1740.57,1000,1,3720,1,0,33480,0,26040,1
